day,population,births,deaths,avg_sentiment,avg_hunger,avg_health,total_food,food_per_capita,gini,avg_wellbeing,marriages,trades,trade_items,work_parties
1,150,0,0,50.49,0.647,99.2,6228.0,41.52,0.140,0.669,0,264,3534.6,0
2,150,0,0,50.52,0.650,98.5,6148.1,40.99,0.160,0.626,0,276,3258.6,0
3,150,0,0,50.55,0.650,97.9,6061.5,40.41,0.176,0.595,0,268,2923.1,0
4,150,0,0,50.58,0.650,97.9,5977.8,39.85,0.186,0.580,0,209,2467.2,0
5,150,0,0,50.61,0.650,97.6,5874.1,39.16,0.198,0.569,0,270,2999.7,0
6,150,0,0,50.63,0.650,97.7,5795.3,38.64,0.192,0.554,0,221,2600.3,0
7,150,0,0,50.66,0.650,97.8,5716.6,38.11,0.200,0.545,0,227,2635.6,0
8,150,0,0,50.68,0.650,98.0,5637.8,37.59,0.209,0.542,0,238,2677.5,0
9,150,0,0,50.70,0.650,98.0,5559.1,37.06,0.212,0.535,0,239,2714.4,0
10,150,0,0,50.71,0.650,97.7,5480.3,36.54,0.211,0.511,0,241,2688.2,0
11,150,0,0,50.72,0.650,97.9,5398.6,35.99,0.199,0.501,0,226,2522.0,0
12,150,0,0,50.73,0.650,97.9,5319.8,35.47,0.215,0.488,0,192,1949.9,0
13,150,0,0,50.73,0.650,98.0,5241.1,34.94,0.215,0.479,0,242,2751.9,0
14,150,0,0,50.72,0.650,97.8,5162.3,34.42,0.228,0.465,0,227,2441.3,0
15,150,0,0,50.72,0.650,97.9,5083.6,33.89,0.235,0.448,0,227,2501.9,0
16,150,0,0,50.71,0.650,98.1,5004.8,33.37,0.211,0.437,0,205,2421.3,0
17,150,0,0,50.70,0.650,98.2,4926.1,32.84,0.236,0.434,0,212,2091.8,0
18,150,0,0,50.69,0.650,98.1,4819.8,32.13,0.231,0.421,0,248,2636.9,0
19,150,0,0,50.67,0.650,97.8,4700.2,31.33,0.223,0.403,1,234,2280.4,0
20,150,0,0,50.65,0.650,98.0,4621.5,30.81,0.232,0.399,0,223,2323.7,0
21,150,0,0,50.63,0.650,98.1,4542.7,30.28,0.233,0.395,0,192,2029.1,0
22,150,0,0,50.61,0.650,97.8,4464.0,29.76,0.234,0.383,0,233,2460.0,0
23,150,0,0,50.59,0.650,97.5,4385.2,29.23,0.223,0.368,0,237,2496.2,0
24,150,0,0,50.57,0.650,97.6,4301.7,28.68,0.234,0.370,0,220,2225.8,0
25,150,0,0,50.56,0.650,97.4,4215.4,28.10,0.237,0.363,0,228,2234.2,0
26,150,0,0,50.54,0.650,97.1,4136.6,27.58,0.220,0.360,0,207,2443.3,0
27,150,0,0,50.52,0.650,97.1,4057.9,27.05,0.214,0.359,0,228,2549.9,0
28,150,0,0,50.50,0.650,96.9,3979.1,26.53,0.221,0.353,0,210,2277.2,0
29,150,0,0,50.48,0.650,97.0,3900.4,26.00,0.227,0.351,0,234,2452.4,0
30,150,0,0,50.46,0.650,96.9,3813.0,25.42,0.253,0.352,1,208,2159.8,0
31,150,0,0,50.44,0.650,96.9,3734.3,24.90,0.254,0.348,0,240,2515.3,0
32,150,0,0,50.42,0.650,96.7,3633.9,24.23,0.241,0.347,1,212,2135.0,0
33,150,0,0,50.40,0.650,96.7,3555.1,23.70,0.251,0.347,0,187,1852.0,0
34,150,0,0,50.38,0.650,96.4,3406.1,22.71,0.258,0.347,1,207,2149.7,0
35,150,0,0,50.36,0.650,96.3,3327.3,22.18,0.269,0.346,0,233,2330.2,0
36,150,0,0,50.34,0.650,96.2,3248.6,21.66,0.268,0.348,0,240,2436.2,0
37,150,0,0,50.32,0.650,95.4,3129.1,20.86,0.274,0.345,1,218,1888.1,0
38,150,0,0,50.30,0.650,95.3,3002.3,20.02,0.278,0.348,1,228,2027.9,0
39,150,0,0,50.29,0.650,95.1,2923.6,19.49,0.272,0.348,0,248,2396.7,0
40,150,0,0,50.27,0.650,95.1,2819.5,18.80,0.271,0.348,1,242,2254.9,0
41,150,0,0,50.26,0.650,94.0,2740.8,18.27,0.277,0.347,0,232,2174.7,0
42,150,0,0,50.25,0.650,93.9,2628.7,17.52,0.282,0.349,2,234,2394.1,0
43,150,0,0,50.24,0.650,93.8,2549.9,17.00,0.293,0.346,0,166,1310.0,0
44,150,0,0,50.23,0.650,93.6,2471.2,16.47,0.290,0.349,0,172,1524.7,0
45,150,0,0,50.22,0.650,93.6,2392.4,15.95,0.287,0.350,0,202,1851.1,0
46,150,0,0,50.21,0.650,93.2,2313.7,15.42,0.274,0.350,0,224,2084.7,0
47,150,0,0,50.20,0.650,92.9,2234.9,14.90,0.280,0.350,0,189,1803.0,0
48,150,0,0,50.19,0.650,92.9,2093.2,13.95,0.288,0.351,1,185,1632.3,0
49,150,0,0,50.19,0.650,92.7,2014.5,13.43,0.276,0.351,0,213,1624.7,0
